sourceId,referenceTime,elementId,value,unit,timeOffset
Open-Meteo-API,2026-02-20 19:00:00+00:00,temperature_2m,-0.76100004,Celsius,0
Open-Meteo-API,2026-02-20 20:00:00+00:00,temperature_2m,-0.81100005,Celsius,0
Open-Meteo-API,2026-02-20 21:00:00+00:00,temperature_2m,-0.661,Celsius,0
Open-Meteo-API,2026-02-20 22:00:00+00:00,temperature_2m,-0.81100005,Celsius,0
Open-Meteo-API,2026-02-20 23:00:00+00:00,temperature_2m,-0.56100005,Celsius,0
Open-Meteo-API,2026-02-21 00:00:00+00:00,temperature_2m,0.039,Celsius,0
Open-Meteo-API,2026-02-21 01:00:00+00:00,temperature_2m,0.439,Celsius,0
Open-Meteo-API,2026-02-21 02:00:00+00:00,temperature_2m,0.789,Celsius,0
Open-Meteo-API,2026-02-21 03:00:00+00:00,temperature_2m,1.289,Celsius,0
Open-Meteo-API,2026-02-21 04:00:00+00:00,temperature_2m,1.889,Celsius,0
Open-Meteo-API,2026-02-21 05:00:00+00:00,temperature_2m,2.239,Celsius,0
Open-Meteo-API,2026-02-21 06:00:00+00:00,temperature_2m,2.839,Celsius,0
Open-Meteo-API,2026-02-21 07:00:00+00:00,temperature_2m,3.539,Celsius,0
Open-Meteo-API,2026-02-21 08:00:00+00:00,temperature_2m,4.139,Celsius,0
Open-Meteo-API,2026-02-21 09:00:00+00:00,temperature_2m,4.639,Celsius,0
Open-Meteo-API,2026-02-21 10:00:00+00:00,temperature_2m,5.589,Celsius,0
Open-Meteo-API,2026-02-21 11:00:00+00:00,temperature_2m,6.139,Celsius,0
Open-Meteo-API,2026-02-21 12:00:00+00:00,temperature_2m,6.839,Celsius,0
Open-Meteo-API,2026-02-21 13:00:00+00:00,temperature_2m,7.189,Celsius,0
Open-Meteo-API,2026-02-21 14:00:00+00:00,temperature_2m,7.339,Celsius,0
Open-Meteo-API,2026-02-21 15:00:00+00:00,temperature_2m,7.239,Celsius,0
Open-Meteo-API,2026-02-21 16:00:00+00:00,temperature_2m,6.689,Celsius,0
Open-Meteo-API,2026-02-21 17:00:00+00:00,temperature_2m,5.839,Celsius,0
Open-Meteo-API,2026-02-21 18:00:00+00:00,temperature_2m,5.239,Celsius,0
Open-Meteo-API,2026-02-21 19:00:00+00:00,temperature_2m,5.089,Celsius,0
Open-Meteo-API,2026-02-21 20:00:00+00:00,temperature_2m,5.189,Celsius,0
Open-Meteo-API,2026-02-21 21:00:00+00:00,temperature_2m,5.339,Celsius,0
Open-Meteo-API,2026-02-21 22:00:00+00:00,temperature_2m,5.439,Celsius,0
Open-Meteo-API,2026-02-21 23:00:00+00:00,temperature_2m,5.539,Celsius,0
Open-Meteo-API,2026-02-22 00:00:00+00:00,temperature_2m,5.739,Celsius,0
Open-Meteo-API,2026-02-22 01:00:00+00:00,temperature_2m,6.089,Celsius,0
Open-Meteo-API,2026-02-22 02:00:00+00:00,temperature_2m,6.489,Celsius,0
Open-Meteo-API,2026-02-22 03:00:00+00:00,temperature_2m,6.889,Celsius,0
Open-Meteo-API,2026-02-22 04:00:00+00:00,temperature_2m,7.089,Celsius,0
Open-Meteo-API,2026-02-22 05:00:00+00:00,temperature_2m,7.289,Celsius,0
Open-Meteo-API,2026-02-22 06:00:00+00:00,temperature_2m,7.739,Celsius,0
Open-Meteo-API,2026-02-22 07:00:00+00:00,temperature_2m,8.688999,Celsius,0
Open-Meteo-API,2026-02-22 08:00:00+00:00,temperature_2m,9.938999,Celsius,0
Open-Meteo-API,2026-02-22 09:00:00+00:00,temperature_2m,10.889,Celsius,0
Open-Meteo-API,2026-02-22 10:00:00+00:00,temperature_2m,11.289,Celsius,0
Open-Meteo-API,2026-02-22 11:00:00+00:00,temperature_2m,11.438999,Celsius,0
Open-Meteo-API,2026-02-22 12:00:00+00:00,temperature_2m,11.539,Celsius,0
Open-Meteo-API,2026-02-22 13:00:00+00:00,temperature_2m,11.688999,Celsius,0
Open-Meteo-API,2026-02-22 14:00:00+00:00,temperature_2m,11.839,Celsius,0
Open-Meteo-API,2026-02-22 15:00:00+00:00,temperature_2m,11.738999,Celsius,0
Open-Meteo-API,2026-02-22 16:00:00+00:00,temperature_2m,11.238999,Celsius,0
Open-Meteo-API,2026-02-22 17:00:00+00:00,temperature_2m,10.539,Celsius,0
Open-Meteo-API,2026-02-22 18:00:00+00:00,temperature_2m,9.938999,Celsius,0
Open-Meteo-API,2026-02-22 19:00:00+00:00,temperature_2m,9.539,Celsius,0
Open-Meteo-API,2026-02-22 20:00:00+00:00,temperature_2m,9.188999,Celsius,0
Open-Meteo-API,2026-02-22 21:00:00+00:00,temperature_2m,8.839,Celsius,0
Open-Meteo-API,2026-02-22 22:00:00+00:00,temperature_2m,8.488999,Celsius,0
Open-Meteo-API,2026-02-22 23:00:00+00:00,temperature_2m,8.089,Celsius,0
Open-Meteo-API,2026-02-23 00:00:00+00:00,temperature_2m,7.689,Celsius,0
Open-Meteo-API,2026-02-23 01:00:00+00:00,temperature_2m,7.189,Celsius,0
Open-Meteo-API,2026-02-23 02:00:00+00:00,temperature_2m,6.689,Celsius,0
Open-Meteo-API,2026-02-23 03:00:00+00:00,temperature_2m,6.239,Celsius,0
Open-Meteo-API,2026-02-23 04:00:00+00:00,temperature_2m,5.834125,Celsius,0
Open-Meteo-API,2026-02-23 05:00:00+00:00,temperature_2m,5.52925,Celsius,0
Open-Meteo-API,2026-02-23 06:00:00+00:00,temperature_2m,5.311875,Celsius,0
Open-Meteo-API,2026-02-23 07:00:00+00:00,temperature_2m,6.2194996,Celsius,0
Open-Meteo-API,2026-02-23 08:00:00+00:00,temperature_2m,6.5195,Celsius,0
Open-Meteo-API,2026-02-23 09:00:00+00:00,temperature_2m,6.7695,Celsius,0
Open-Meteo-API,2026-02-23 10:00:00+00:00,temperature_2m,6.9195,Celsius,0
Open-Meteo-API,2026-02-23 11:00:00+00:00,temperature_2m,7.0695,Celsius,0
